bam,file_id,species,sex,analysis,phenotype,binary
2749-3-10-2_S28_sliding_window_trim_minq20_sorted.dedup.bam,2749-3-10-2,hybrid,M,limenitis_resequencing,black,0
2749-3-10-3_S29_sliding_window_trim_minq20_sorted.dedup.bam,2749-3-10-3,hybrid,M,limenitis_resequencing,black,0
2749-3-10-4_S30_sliding_window_trim_minq20_sorted.dedup.bam,2749-3-10-4,hybrid,M,limenitis_resequencing,black,0
2749-3-10-5_S31_sliding_window_trim_minq20_sorted.dedup.bam,2749-3-10-5,hybrid,M,limenitis_resequencing,weak_orange,1
2749-3-10-6_S32_sliding_window_trim_minq20_sorted.dedup.bam,2749-3-10-6,hybrid,M,limenitis_resequencing,black,0
2749-3-10-7_S33_sliding_window_trim_minq20_sorted.dedup.bam,2749-3-10-7,hybrid,M,limenitis_resequencing,weak_orange,1
2749-3-10-8_S34_sliding_window_trim_minq20_sorted.dedup.bam,2749-3-10-8,hybrid,F,limenitis_resequencing,black,0
2749-3-10-9_S35_sliding_window_trim_minq20_sorted.dedup.bam,2749-3-10-9,hybrid,F,limenitis_resequencing,weak_orange,1
BCB2-2_S38_sliding_window_trim_minq20_sorted.dedup.bam,BCB2-2,hybrid,NA,limenitis_resequencing,black,0
BCB2-5_S39_sliding_window_trim_minq20_sorted.dedup.bam,BCB2-5,hybrid,NA,limenitis_resequencing,black,0
BCB2-7_S40_sliding_window_trim_minq20_sorted.dedup.bam,BCB2-7,hybrid,NA,limenitis_resequencing,black,0
BCB2-9_S41_sliding_window_trim_minq20_sorted.dedup.bam,BCB2-9,hybrid,NA,limenitis_resequencing,orange,1
BCB4-10_S50_sliding_window_trim_minq20_sorted.dedup.bam,BCB4-10,hybrid,NA,limenitis_resequencing,black,0
BCB4-11_S51_sliding_window_trim_minq20_sorted.dedup.bam,BCB4-11,hybrid,NA,limenitis_resequencing,black,0
BCB4-12_S52_sliding_window_trim_minq20_sorted.dedup.bam,BCB4-12,hybrid,NA,limenitis_resequencing,orange,1
BCB4-14_S54_sliding_window_trim_minq20_sorted.dedup.bam,BCB4-14,hybrid,NA,limenitis_resequencing,black,0
BCB4-17_S56_sliding_window_trim_minq20_sorted.dedup.bam,BCB4-17,hybrid,NA,limenitis_resequencing,weak_orange,1
BCB4-19_S57_sliding_window_trim_minq20_sorted.dedup.bam,BCB4-19,hybrid,NA,limenitis_resequencing,orange,1
BCB4-20_S58_sliding_window_trim_minq20_sorted.dedup.bam,BCB4-20,hybrid,NA,limenitis_resequencing,black,0
BCB4-21_S59_sliding_window_trim_minq20_sorted.dedup.bam,BCB4-21,hybrid,M,limenitis_resequencing,weak_orange,1
BCB4-23_S60_sliding_window_trim_minq20_sorted.dedup.bam,BCB4-23,hybrid,NA,limenitis_resequencing,black,0
BCB4-24_S61_sliding_window_trim_minq20_sorted.dedup.bam,BCB4-24,hybrid,M,limenitis_resequencing,black,0
BCB4-26_S63_sliding_window_trim_minq20_sorted.dedup.bam,BCB4-26,hybrid,M,limenitis_resequencing,black,0
BCB4-27_S64_sliding_window_trim_minq20_sorted.dedup.bam,BCB4-27,hybrid,F,limenitis_resequencing,black,0
BCB4-28_S65_sliding_window_trim_minq20_sorted.dedup.bam,BCB4-28,hybrid,F,limenitis_resequencing,orange,1
BCB4-29_S66_sliding_window_trim_minq20_sorted.dedup.bam,BCB4-29,hybrid,F,limenitis_resequencing,black,0
BCB4-2_S42_sliding_window_trim_minq20_sorted.dedup.bam,BCB4-2,hybrid,M,limenitis_resequencing,weak_orange,1
BCB4-30_S67_sliding_window_trim_minq20_sorted.dedup.bam,BCB4-30,hybrid,M,limenitis_resequencing,weak_orange,1
BCB4-31_S68_sliding_window_trim_minq20_sorted.dedup.bam,BCB4-31,hybrid,F,limenitis_resequencing,weak_orange,1
BCB4-32_S69_sliding_window_trim_minq20_sorted.dedup.bam,BCB4-32,hybrid,F,limenitis_resequencing,weak_orange,1
BCB4-3_S43_sliding_window_trim_minq20_sorted.dedup.bam,BCB4-3,hybrid,NA,limenitis_resequencing,black,0
BCB4-4_S44_sliding_window_trim_minq20_sorted.dedup.bam,BCB4-4,hybrid,NA,limenitis_resequencing,weak_orange,1
BCB4-5_S45_sliding_window_trim_minq20_sorted.dedup.bam,BCB4-5,hybrid,NA,limenitis_resequencing,orange,1
BCB4-6_S46_sliding_window_trim_minq20_sorted.dedup.bam,BCB4-6,hybrid,NA,limenitis_resequencing,weak_orange,1
BCB4-7_S47_sliding_window_trim_minq20_sorted.dedup.bam,BCB4-7,hybrid,NA,limenitis_resequencing,orange,1
BCB4-8_S48_sliding_window_trim_minq20_sorted.dedup.bam,BCB4-8,hybrid,NA,limenitis_resequencing,weak_orange,1
BCB4-9_S49_sliding_window_trim_minq20_sorted.dedup.bam,BCB4-9,hybrid,NA,limenitis_resequencing,orange,1
F2_HSC_7-10_S78_sliding_window_trim_minq20_sorted.dedup.bam,F2_HSC_7-10,hybrid,M,limenitis_resequencing,weak_orange,1
F2_HSC_7-11_S79_sliding_window_trim_minq20_sorted.dedup.bam,F2_HSC_7-11,hybrid,M,limenitis_resequencing,black,0
F2_HSC_7-12_S80_sliding_window_trim_minq20_sorted.dedup.bam,F2_HSC_7-12,hybrid,F?,limenitis_resequencing,weak_orange,1
F2_HSC_7-13_S81_sliding_window_trim_minq20_sorted.dedup.bam,F2_HSC_7-13,hybrid,M,limenitis_resequencing,weak_orange,1
F2_HSC_7-1_S70_sliding_window_trim_minq20_sorted.dedup.bam,F2_HSC_7-1,hybrid,M,limenitis_resequencing,weak_orange,1
F2_HSC_7-22_S83_sliding_window_trim_minq20_sorted.dedup.bam,F2_HSC_7-22,hybrid,NA,limenitis_resequencing,weak_orange,1
F2_HSC_7-23_S84_sliding_window_trim_minq20_sorted.dedup.bam,F2_HSC_7-23,hybrid,F,limenitis_resequencing,orange,1
F2_HSC_7-24_S85_sliding_window_trim_minq20_sorted.dedup.bam,F2_HSC_7-24,hybrid,F,limenitis_resequencing,black,0
F2_HSC_7-27_S86_sliding_window_trim_minq20_sorted.dedup.bam,F2_HSC_7-27,hybrid,M,limenitis_resequencing,weak_orange,1
F2_HSC_7-29_S87_sliding_window_trim_minq20_sorted.dedup.bam,F2_HSC_7-29,hybrid,M,limenitis_resequencing,weak_orange,1
F2_HSC_7-2_S71_sliding_window_trim_minq20_sorted.dedup.bam,F2_HSC_7-2,hybrid,M,limenitis_resequencing,black,0
F2_HSC_7-36_S88_sliding_window_trim_minq20_sorted.dedup.bam,F2_HSC_7-36,hybrid,M,limenitis_resequencing,weak_orange,1
F2_HSC_7-37_S89_sliding_window_trim_minq20_sorted.dedup.bam,F2_HSC_7-37,hybrid,M,limenitis_resequencing,weak_orange,1
F2_HSC_7-3_S72_sliding_window_trim_minq20_sorted.dedup.bam,F2_HSC_7-3,hybrid,M,limenitis_resequencing,strong_orange,1
F2_HSC_7-5_S73_sliding_window_trim_minq20_sorted.dedup.bam,F2_HSC_7-5,hybrid,M,limenitis_resequencing,weak_orange,1
F2_HSC_7-6_S74_sliding_window_trim_minq20_sorted.dedup.bam,F2_HSC_7-6,hybrid,M,limenitis_resequencing,weak_orange,1
F2_HSC_7-7_S75_sliding_window_trim_minq20_sorted.dedup.bam,F2_HSC_7-7,hybrid,M,limenitis_resequencing,weak_orange,1
F2_HSC_7-8_S76_sliding_window_trim_minq20_sorted.dedup.bam,F2_HSC_7-8,hybrid,M,limenitis_resequencing,weak_orange,1
F2_HSC_7-9_S77_sliding_window_trim_minq20_sorted.dedup.bam,F2_HSC_7-9,hybrid,M,limenitis_resequencing,weak_orange,1
F2_HSC_8-12_S95_sliding_window_trim_minq20_sorted.dedup.bam,F2_HSC_8-12,hybrid,M,limenitis_resequencing,black,0
F2_HSC_8-14_S96_sliding_window_trim_minq20_sorted.dedup.bam,F2_HSC_8-14,hybrid,F,limenitis_resequencing,black,0
F2_HSC_8-2_S90_sliding_window_trim_minq20_sorted.dedup.bam,F2_HSC_8-2,hybrid,F,limenitis_resequencing,black,0
F2_HSC_8-3_S91_sliding_window_trim_minq20_sorted.dedup.bam,F2_HSC_8-3,hybrid,M,limenitis_resequencing,black,0
F2_HSC_8-5_S92_sliding_window_trim_minq20_sorted.dedup.bam,F2_HSC_8-5,hybrid,M,limenitis_resequencing,black,0
F2_HSC_8-6_S93_sliding_window_trim_minq20_sorted.dedup.bam,F2_HSC_8-6,hybrid,M,limenitis_resequencing,weak_orange,1
F2_HSC_8-7_S94_sliding_window_trim_minq20_sorted.dedup.bam,F2_HSC_8-7,hybrid,M,limenitis_resequencing,black,0
LIB035248_GEN00127679_S1_trimtest_minq20_sorted.dedup.bam,LIB035248_GEN00127679,lorquini,NA,genomic_cline,orange,1
LIB035248_GEN00127680_S2_trimtest_minq20_sorted.dedup.bam,LIB035248_GEN00127680,lorquini,NA,genomic_cline,orange,1
LIB035248_GEN00127681_S3_trimtest_minq20_sorted.dedup.bam,LIB035248_GEN00127681,lorquini,NA,genomic_cline,orange,1
LIB035248_GEN00127682_S4_trimtest_minq20_sorted.dedup.bam,LIB035248_GEN00127682,lorquini,NA,genomic_cline,orange,1
LIB035248_GEN00127683_S5_trimtest_minq20_sorted.dedup.bam,LIB035248_GEN00127683,lorquini,NA,genomic_cline,orange,1
LIB035248_GEN00127684_S6_trimtest_minq20_sorted.dedup.bam,LIB035248_GEN00127684,lorquini,NA,genomic_cline,orange,1
LIB035248_GEN00127685_S7_trimtest_minq20_sorted.dedup.bam,LIB035248_GEN00127685,lorquini,NA,genomic_cline,orange,1
LIB035248_GEN00127686_S8_trimtest_minq20_sorted.dedup.bam,LIB035248_GEN00127686,lorquini,NA,genomic_cline,orange,1
LIB035248_GEN00127687_S9_trimtest_minq20_sorted.dedup.bam,LIB035248_GEN00127687,lorquini,NA,genomic_cline,orange,1
LIB035248_GEN00127688_S10_trimtest_minq20_sorted.dedup.bam,LIB035248_GEN00127688,lorquini,NA,genomic_cline,orange,1
LIB035248_GEN00127689_S11_trimtest_minq20_sorted.dedup.bam,LIB035248_GEN00127689,hybrid,NA,genomic_cline,strong_orange,1
LIB035248_GEN00127690_S12_trimtest_minq20_sorted.dedup.bam,LIB035248_GEN00127690,hybrid,NA,genomic_cline,strong_orange,1
LIB035248_GEN00127691_S13_trimtest_minq20_sorted.dedup.bam,LIB035248_GEN00127691,hybrid,NA,genomic_cline,strong_orange,1
LIB035248_GEN00127692_S14_trimtest_minq20_sorted.dedup.bam,LIB035248_GEN00127692,hybrid,NA,genomic_cline,strong_orange,1
LIB035248_GEN00127693_S15_trimtest_minq20_sorted.dedup.bam,LIB035248_GEN00127693,hybrid,NA,genomic_cline,intermediate_orange,1
LIB035248_GEN00127694_S16_trimtest_minq20_sorted.dedup.bam,LIB035248_GEN00127694,hybrid,NA,genomic_cline,intermediate_orange,1
LIB035248_GEN00127695_S17_trimtest_minq20_sorted.dedup.bam,LIB035248_GEN00127695,hybrid,NA,genomic_cline,intermediate_orange,1
LIB035248_GEN00127696_S18_trimtest_minq20_sorted.dedup.bam,LIB035248_GEN00127696,hybrid,NA,genomic_cline,intermediate_orange,1
LIB035248_GEN00127697_S19_trimtest_minq20_sorted.dedup.bam,LIB035248_GEN00127697,hybrid,NA,genomic_cline,weak_orange,1
LIB035248_GEN00127698_S20_trimtest_minq20_sorted.dedup.bam,LIB035248_GEN00127698,hybrid,NA,genomic_cline,weak_orange,1
LIB035248_GEN00127699_S21_trimtest_minq20_sorted.dedup.bam,LIB035248_GEN00127699,hybrid,NA,genomic_cline,weak_orange,1
LIB035248_GEN00127700_S22_trimtest_minq20_sorted.dedup.bam,LIB035248_GEN00127700,hybrid,NA,genomic_cline,weak_orange,1
LIB035248_GEN00127701_S23_trimtest_minq20_sorted.dedup.bam,LIB035248_GEN00127701,weidemeyerii,NA,genomic_cline,black,0
LIB035248_GEN00127702_S24_trimtest_minq20_sorted.dedup.bam,LIB035248_GEN00127702,weidemeyerii,NA,genomic_cline,black,0
LIB035248_GEN00127703_S25_trimtest_minq20_sorted.dedup.bam,LIB035248_GEN00127703,weidemeyerii,NA,genomic_cline,black,0
LIB035248_GEN00127704_S26_trimtest_minq20_sorted.dedup.bam,LIB035248_GEN00127704,weidemeyerii,NA,genomic_cline,black,0
LIB035248_GEN00127705_S27_trimtest_minq20_sorted.dedup.bam,LIB035248_GEN00127705,weidemeyerii,NA,genomic_cline,black,0
LIB035248_GEN00127706_S28_trimtest_minq20_sorted.dedup.bam,LIB035248_GEN00127706,weidemeyerii,NA,genomic_cline,black,0
LIB035248_GEN00127707_S29_trimtest_minq20_sorted.dedup.bam,LIB035248_GEN00127707,weidemeyerii,NA,genomic_cline,black,0
LIB035248_GEN00127708_S30_trimtest_minq20_sorted.dedup.bam,LIB035248_GEN00127708,weidemeyerii,NA,genomic_cline,black,0
LIB035248_GEN00127709_S31_trimtest_minq20_sorted.dedup.bam,LIB035248_GEN00127709,weidemeyerii,NA,genomic_cline,black,0
LIB035248_GEN00127710_S32_trimtest_minq20_sorted.dedup.bam,LIB035248_GEN00127710,weidemeyerii,NA,genomic_cline,black,0
RIH_2088_trimtest_minq20_sorted.dedup.bam,RIH_2088,lorquini,M,dana_cohen,orange,1
RIH_2089_trimtest_minq20_sorted.dedup.bam,RIH_2089,lorquini,M,dana_cohen,orange,1
RIH_2090_trimtest_minq20_sorted.dedup.bam,RIH_2090,lorquini,M,dana_cohen,orange,1
RIH_2091_trimtest_minq20_sorted.dedup.bam,RIH_2091,lorquini,M,dana_cohen,orange,1
RIH_2092_trimtest_minq20_sorted.dedup.bam,RIH_2092,lorquini,M,dana_cohen,orange,1
RIH_2093_trimtest_minq20_sorted.dedup.bam,RIH_2093,lorquini,M,dana_cohen,orange,1
RIH_2094_trimtest_minq20_sorted.dedup.bam,RIH_2094,lorquini,M,dana_cohen,orange,1
RIH_2095_trimtest_minq20_sorted.dedup.bam,RIH_2095,lorquini,F,dana_cohen,orange,1
RIH_2106_trimtest_minq20_sorted.dedup.bam,RIH_2106,weidemeyerii,M,dana_cohen,black,0
RIH_2107_trimtest_minq20_sorted.dedup.bam,RIH_2107,weidemeyerii,M,dana_cohen,black,0
RIH_2108_trimtest_minq20_sorted.dedup.bam,RIH_2108,weidemeyerii,M,dana_cohen,black,0
RIH_2109_trimtest_minq20_sorted.dedup.bam,RIH_2109,weidemeyerii,M,dana_cohen,black,0
RIH_2110_trimtest_minq20_sorted.dedup.bam,RIH_2110,weidemeyerii,F,dana_cohen,black,0
RIH_2113_trimtest_minq20_sorted.dedup.bam,RIH_2113,weidemeyerii,M,dana_cohen,black,0
RIH_2114_trimtest_minq20_sorted.dedup.bam,RIH_2114,weidemeyerii,M,dana_cohen,black,0
RIH_2115_trimtest_minq20_sorted.dedup.bam,RIH_2115,weidemeyerii,M,dana_cohen,black,0
RIH_2125_trimtest_minq20_sorted.dedup.bam,RIH_2125,weidemeyerii,F,dana_cohen,black,0
RIH_2214_trimtest_minq20_sorted.dedup.bam,RIH_2214,weidemeyerii,F,dana_cohen,black,0
RIH_2287_trimtest_minq20_sorted.dedup.bam,RIH_2287,lorquini,F,dana_cohen,orange,1
